,nest,site,year,lat,lon,cov_1m,cov_5m,prot,pred,estHD,HD,HD_diff,HD_equal,init_calc,init_date,age_diff,init_diff,hatch_diff,camera_old,camera,missing,cam_fate_feb,nest_age_feb,final_obs_int_feb,field_fate,field_fate2,field_fate3,field_fate4,cam_fate1,cam_fate2,final_fate1,final_fate2,nest_age1,nest_age2,final_obs_int,final_obs_int2,final_obs_int3,final_obs_date,final_obs_date2,species,likely_failed,HF,HF_C,HF_MC,MC,marked_U,i,j,j_adj,k,k_adj,j.cam,k.cam,n_obs,n_days,> hatch?,penultimate,final,obs_dates,obs_history,obs_ints,new_notes,camera_notes,field_notes
694,20454,RUTW,2020,29.7667,-93.15858,95,95,none,,108,108,0,TRUE,,92,1,0,,Y,Y,J?,,19,4,U,U,U,U,,,,,20,20,4,4,4,112,112,CONI,0,7,,TRUE,TRUE,TRUE,95,108,108,112,112,,,7,17,1,BON,0E,95|98|101|104|106|108|112,2E|2E|BON|BON|BON|BON|0E,0|3|3|3|2|2|4,,SD card filled before fate,"No sign of eggs, chicks or parents anywhere in area after multiple checks on Jul 31st"
695,30965,RUTW,2021,29.76767,-93.16182,10,30,,,,,,TRUE,,,,1,,Y,Y,N,,,4,D,D,D,D,D,D,D,D,,,5,5,5,86,86,LETE,,0,0,FALSE,FALSE,FALSE,81,81,81,86,86,,,2,5,,1E,0E,81|86,1E|0E,0|5,,,check field notes for fate/nest history
696,30966,RUTW,2021,29.76154,-93.13396,0,0,,,,,,TRUE,,,,3,,N,N,,,,8,Hu,Hu,Hu,Hu,,,Hu,Hu,,,5,5,5,86,86,CONI,,0,0,FALSE,TRUE,FALSE,81,81,81,86,86,,,2,5,,2E,0E,81|86,2E|0E,0|5,,,"other field notes? 7/5: female was in area acting territorial, but couldn't find anything and there were vehicle tracks everywhere. nest assumed run over"
697,30967,RUTW,2021,29.76366,-93.14146,0,5,,,,,,TRUE,,,,0,,Y?,Y?,Y,,,5,U,U,U,U,,,U,,,,5,5,5,86,86,LETE,,0,0,FALSE,TRUE,TRUE,81,81,81,86,86,,,2,5,,2E,0E,81|86,2E|0E,0|5,,no way of saying what cam fate is w/o pics,check field notes for fate/nest history
698,30970,RUTW,2021,29.76655,-93.15631,30,30,,,101,101,0,TRUE,,82,0,0,,Y,Y,N,F,8,4,F,F,F,F,,,,,8,8,4,4,4,90,90,LETE,1,0,,TRUE,TRUE,FALSE,81,86,86,90,90,,,3,9,0,2E,0E,81|86|90,2E|2E|0E,0|5|4,,batteries died,didn’t look like that much  veg in field photo; changing to F based on est hatch date
699,30971,RUTE,2021,29.75708,-93.11189,,,fenced,,,,,TRUE,,,,0,,N,N,,,,5,U,U,U,U,,,,,,,5,5,12,94,94,LETE,,0,0,FALSE,TRUE,TRUE,82,82,82,94,94,,,4,12,,2E,0E,82|86|89|94,2E|2E|2E|0E,0|4|3|5,,,"est hatch date was changed to 7/16 by ""splitting the difference"" but doesn't make sense and doesn't matter anyway"
700,30974,RUTW,2021,29.76669,-93.15719,30,30,,,,,,TRUE,,,,5,,Y,Y,N,,,0,D,D,D,D,D,D,D,D,,,5,5,5,99,99,LETE,,0,0,FALSE,FALSE,FALSE,94,94,94,99,99,,,2,5,,2E,0E,94|99,2E|0E,0|5,,,check field notes for fate/nest history
701,30975,RUTW,2021,29.76846,-93.16402,,,none,,,,,TRUE,,,,0,,N,N,,,,3,U,U,U,U,,,U,U,,,3,3,3,102,102,LETE,,0,0,FALSE,TRUE,TRUE,94,99,99,102,102,,,3,8,,2E,0E,94|99|102,2E|2E|0E,0|5|3,,,check field notes for fate/nest history
702,30979,RUTE,2021,29.75724,-93.1133,0,0,,,,,,TRUE,,,,,,Y,Y,N,,,,U,U,U,U,A,A,A,A,,,6,6,6,104,104,LETE,,7,0,TRUE,TRUE,TRUE,98,98,98,104,104,,,2,6,,2E,0E,98|104,2E|0E,0|6,,cam doesn't detect anything until my return on 23 Jul,check field notes for fate/nest history
703,30980,RUTW,2021,29.76318,-93.16948,0,0,none,,,,,TRUE,,,,0,,Y?,Y?,Y,,,2,U,U,U,U,D,,D,,,,2,2,2,104,104,LETE,,7,0,TRUE,TRUE,TRUE,102,102,102,104,104,,,3,2,,2E,0E,98|102|104,2E|2E|0E,0|4|2,never found photos,cam A - photos missing; not sure why marked depredated,"COORDS INCORRECT7/23- 0E, no nest cup, no tracks or eggshell"
704,30981,RUTW,2021,29.76382,-93.14236,0,10,none,,114,114,0,TRUE,,95,,1,,Y,Y,N,,,5,U,U,U,U,F,F,F,F,20,20,4,4,4,115,115,LETE,0,7,0,TRUE,TRUE,TRUE,98,111,111,115,115,,,5,17,0,2E,0E,98|102|107|111|115,2E|2E|2E|2E|0E,0|4|5|4|4,,disturbance night of 30 Jul; birds leave?,
705,30982,RUTW,2021,29.76858,-93.16501,10,10,none,,,,,TRUE,,,,0,,Y?,Y?,Y,,,4,D,D,D,D,,,,,,,4,4,4,106,106,LETE,,0,0,FALSE,TRUE,FALSE,102,102,102,106,106,,,2,4,,1E,coyote,102|106,1E|coyote,0|4,never found photos,no way of saying what cam fate is w/o pics,cam z; nest could be 1E bc late in season
